layer,validation_auroc,test_auroc_secondary,projection_center,projection_gap
0,0.8309000000000001,0.83420625,-1.0713517665863037,0.45670753717422485
1,0.852375,0.8520687499999998,0.04189828038215637,1.0200905799865723
2,0.888025,0.87795625,1.9506802558898926,1.3144659996032715
3,0.83165,0.8205062499999999,0.44304540753364563,2.705312967300415
4,0.80025,0.7922250000000001,-2.2203402519226074,3.2002205848693848
5,0.8883749999999999,0.86876875,-6.732622146606445,3.478750228881836
6,0.8943500000000001,0.8708625000000001,-3.4158670902252197,3.2948946952819824
7,0.90115,0.8753124999999999,-0.9058172702789307,3.4157872200012207
8,0.879125,0.8573437500000001,-2.3545546531677246,3.6073029041290283
9,0.85465,0.83271875,-3.2729246616363525,3.887387752532959
10,0.8291,0.8168375000000001,1.723549485206604,4.357285499572754
11,0.812275,0.7917625,5.393637657165527,4.6834893226623535
12,0.790825,0.7748875000000001,4.845981597900391,4.805002212524414
13,0.809875,0.7881000000000001,7.562796592712402,5.489651203155518
14,0.7981250000000001,0.7735062500000001,9.694045066833496,5.570499420166016
15,0.8200999999999999,0.8010937499999999,4.137752056121826,5.805765628814697
16,0.8623000000000001,0.8361937500000001,2.0196635723114014,7.0860819816589355
17,0.88185,0.8602062499999998,1.3146437406539917,8.568775177001953
18,0.89335,0.8812375,-2.146411180496216,10.120420455932617
19,0.8901749999999999,0.8823750000000001,5.315744400024414,11.794046401977539
20,0.87475,0.86840625,-2.919253349304199,14.376628875732422
21,0.8867999999999999,0.89411875,-4.165086269378662,17.515296936035156
22,0.88445,0.89583125,4.664607048034668,21.642717361450195
23,0.88085,0.8948625,5.312601566314697,23.690914154052734
24,0.8797499999999999,0.8951625000000001,-9.805167198181152,26.83558464050293
25,0.8781000000000001,0.8957625,7.299169540405273,29.06378936767578
26,0.877625,0.89805,-11.453533172607422,31.57363510131836
27,0.8756249999999999,0.89643125,-1.5220251083374023,27.782739639282227
